model,run_name,condition,persona_id,risk_tier,top_1_candidate_id,rank,top1,top3,reciprocal_rank,top_1_score,target_score,top_score_margin,uncertain,ranked_candidates_json,most_important_signals_json,raw_text
gpt-5.5,gpt55_doclocal_24p,c1_direct_redaction,P0023,T3,P0023,1,1,1,1.0,0.99,,,False,"[""P0023"", ""P0015"", ""P0054"", ""P0110"", ""P0014"", ""P0030"", ""P0092"", ""P0114"", ""P0078"", ""P0008""]","[""role"", ""location"", ""medical""]","{""ranked_candidates"":[""P0023"",""P0015"",""P0054"",""P0110"",""P0014"",""P0030"",""P0092"",""P0114"",""P0078"",""P0008""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""location"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1_direct_redaction,P0025,T2,P0025,1,1,1,1.0,0.87,,,False,"[""P0025"", ""P0042"", ""P0086"", ""P0044"", ""P0108"", ""P0080"", ""P0106"", ""P0050"", ""P0071"", ""P0105""]","[""location"", ""institution"", ""schedule""]","{""ranked_candidates"":[""P0025"",""P0042"",""P0086"",""P0044"",""P0108"",""P0080"",""P0106"",""P0050"",""P0071"",""P0105""],""confidence"":0.87,""uncertain"":false,""top_signals"":[""location"",""institution"",""schedule""]}"
gpt-5.5,gpt55_doclocal_24p,c1_direct_redaction,P0026,T3,P0026,1,1,1,1.0,0.99,,,False,"[""P0026"", ""P0064"", ""P0057"", ""P0080"", ""P0006"", ""P0067"", ""P0087"", ""P0044"", ""P0086"", ""P0062""]","[""role"", ""location"", ""rare_event""]","{""ranked_candidates"":[""P0026"",""P0064"",""P0057"",""P0080"",""P0006"",""P0067"",""P0087"",""P0044"",""P0086"",""P0062""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""location"",""rare_event""]}"
gpt-5.5,gpt55_doclocal_24p,c1_direct_redaction,P0028,T2,P0028,1,1,1,1.0,0.92,,,False,"[""P0028"", ""P0009"", ""P0057"", ""P0066"", ""P0018"", ""P0021"", ""P0012"", ""P0082"", ""P0064"", ""P0013""]","[""location"", ""institution"", ""medical""]","{""ranked_candidates"":[""P0028"",""P0009"",""P0057"",""P0066"",""P0018"",""P0021"",""P0012"",""P0082"",""P0064"",""P0013""],""confidence"":0.92,""uncertain"":false,""top_signals"":[""location"",""institution"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1_direct_redaction,P0029,T3,P0029,1,1,1,1.0,0.99,,,False,"[""P0029"", ""P0072"", ""P0040"", ""P0034"", ""P0079"", ""P0099"", ""P0069"", ""P0091"", ""P0031"", ""P0118""]","[""schedule"", ""medical"", ""family""]","{""ranked_candidates"":[""P0029"",""P0072"",""P0040"",""P0034"",""P0079"",""P0099"",""P0069"",""P0091"",""P0031"",""P0118""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""schedule"",""medical"",""family""]}"
gpt-5.5,gpt55_doclocal_24p,c1_direct_redaction,P0031,T2,P0031,1,1,1,1.0,0.93,,,False,"[""P0031"", ""P0088"", ""P0047"", ""P0015"", ""P0099"", ""P0022"", ""P0113"", ""P0071"", ""P0054"", ""P0001""]","[""location"", ""role"", ""schedule""]","{""ranked_candidates"":[""P0031"",""P0088"",""P0047"",""P0015"",""P0099"",""P0022"",""P0113"",""P0071"",""P0054"",""P0001""],""confidence"":0.93,""uncertain"":false,""top_signals"":[""location"",""role"",""schedule""]}"
gpt-5.5,gpt55_doclocal_24p,c1_direct_redaction,P0032,T3,P0032,1,1,1,1.0,1.0,,,False,"[""P0032"", ""P0003"", ""P0042"", ""P0102"", ""P0111"", ""P0020"", ""P0088"", ""P0107"", ""P0007"", ""P0104""]","[""role"", ""location"", ""family""]","{""ranked_candidates"":[""P0032"",""P0003"",""P0042"",""P0102"",""P0111"",""P0020"",""P0088"",""P0107"",""P0007"",""P0104""],""confidence"":1,""uncertain"":false,""top_signals"":[""role"",""location"",""family""]}"
gpt-5.5,gpt55_doclocal_24p,c1_direct_redaction,P0034,T2,P0034,1,1,1,1.0,0.93,,,False,"[""P0034"", ""P0072"", ""P0029"", ""P0101"", ""P0058"", ""P0093"", ""P0098"", ""P0103"", ""P0024"", ""P0030""]","[""location"", ""role"", ""institution""]","{""ranked_candidates"":[""P0034"",""P0072"",""P0029"",""P0101"",""P0058"",""P0093"",""P0098"",""P0103"",""P0024"",""P0030""],""confidence"":0.93,""uncertain"":false,""top_signals"":[""location"",""role"",""institution""]}"
gpt-5.5,gpt55_doclocal_24p,c1_direct_redaction,P0035,T3,P0035,1,1,1,1.0,0.99,,,False,"[""P0035"", ""P0061"", ""P0072"", ""P0037"", ""P0095"", ""P0009"", ""P0064"", ""P0092"", ""P0006"", ""P0036""]","[""role"", ""location"", ""rare_event""]","{""ranked_candidates"":[""P0035"",""P0061"",""P0072"",""P0037"",""P0095"",""P0009"",""P0064"",""P0092"",""P0006"",""P0036""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""location"",""rare_event""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0001,T2,P0001,1,1,1,1.0,0.93,,,False,"[""P0001"", ""P0096"", ""P0046"", ""P0022"", ""P0002"", ""P0010"", ""P0113"", ""P0107"", ""P0047"", ""P0031""]","[""location"", ""institution"", ""schedule""]","{""ranked_candidates"":[""P0001"",""P0096"",""P0046"",""P0022"",""P0002"",""P0010"",""P0113"",""P0107"",""P0047"",""P0031""],""confidence"":0.93,""uncertain"":false,""top_signals"":[""location"",""institution"",""schedule""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0002,T3,P0002,1,1,1,1.0,0.98,,,False,"[""P0002"", ""P0072"", ""P0109"", ""P0022"", ""P0113"", ""P0036"", ""P0001"", ""P0046"", ""P0114"", ""P0104""]","[""role"", ""medical"", ""schedule""]","{""ranked_candidates"":[""P0002"",""P0072"",""P0109"",""P0022"",""P0113"",""P0036"",""P0001"",""P0046"",""P0114"",""P0104""],""confidence"":0.98,""uncertain"":false,""top_signals"":[""role"",""medical"",""schedule""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0004,T2,P0004,1,1,1,1.0,0.79,,,False,"[""P0004"", ""P0100"", ""P0033"", ""P0010"", ""P0084"", ""P0067"", ""P0042"", ""P0110"", ""P0044"", ""P0102""]","[""role"", ""institution"", ""medical""]","{""ranked_candidates"":[""P0004"",""P0100"",""P0033"",""P0010"",""P0084"",""P0067"",""P0042"",""P0110"",""P0044"",""P0102""],""confidence"":0.79,""uncertain"":false,""top_signals"":[""role"",""institution"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0005,T3,P0005,1,1,1,1.0,0.99,,,False,"[""P0005"", ""P0117"", ""P0116"", ""P0079"", ""P0053"", ""P0059"", ""P0056"", ""P0063"", ""P0089"", ""P0094""]","[""role"", ""schedule"", ""medical""]","{""ranked_candidates"":[""P0005"",""P0117"",""P0116"",""P0079"",""P0053"",""P0059"",""P0056"",""P0063"",""P0089"",""P0094""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""schedule"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0007,T2,P0007,1,1,1,1.0,0.87,,,False,"[""P0007"", ""P0075"", ""P0119"", ""P0039"", ""P0020"", ""P0032"", ""P0111"", ""P0074"", ""P0051"", ""P0045""]","[""location"", ""institution"", ""family""]","{""ranked_candidates"":[""P0007"",""P0075"",""P0119"",""P0039"",""P0020"",""P0032"",""P0111"",""P0074"",""P0051"",""P0045""],""confidence"":0.87,""uncertain"":false,""top_signals"":[""location"",""institution"",""family""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0008,T3,P0008,1,1,1,1.0,0.98,,,False,"[""P0008"", ""P0095"", ""P0096"", ""P0040"", ""P0006"", ""P0078"", ""P0044"", ""P0012"", ""P0016"", ""P0023""]","[""role"", ""rare_event"", ""medical""]","{""ranked_candidates"":[""P0008"",""P0095"",""P0096"",""P0040"",""P0006"",""P0078"",""P0044"",""P0012"",""P0016"",""P0023""],""confidence"":0.98,""uncertain"":false,""top_signals"":[""role"",""rare_event"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0010,T2,P0010,1,1,1,1.0,0.96,,,False,"[""P0010"", ""P0022"", ""P0001"", ""P0047"", ""P0113"", ""P0004"", ""P0037"", ""P0074"", ""P0115"", ""P0070""]","[""location"", ""institution"", ""schedule""]","{""ranked_candidates"":[""P0010"",""P0022"",""P0001"",""P0047"",""P0113"",""P0004"",""P0037"",""P0074"",""P0115"",""P0070""],""confidence"":0.96,""uncertain"":false,""top_signals"":[""location"",""institution"",""schedule""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0011,T3,P0011,1,1,1,1.0,0.99,,,False,"[""P0011"", ""P0047"", ""P0089"", ""P0059"", ""P0081"", ""P0094"", ""P0061"", ""P0093"", ""P0024"", ""P0063""]","[""role"", ""schedule"", ""rare_event""]","{""ranked_candidates"":[""P0011"",""P0047"",""P0089"",""P0059"",""P0081"",""P0094"",""P0061"",""P0093"",""P0024"",""P0063""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""schedule"",""rare_event""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0013,T2,P0013,1,1,1,1.0,0.56,,,True,"[""P0013"", ""P0103"", ""P0084"", ""P0052"", ""P0074"", ""P0107"", ""P0111"", ""P0076"", ""P0028"", ""P0027""]","[""institution"", ""schedule"", ""medical""]","{""ranked_candidates"":[""P0013"",""P0103"",""P0084"",""P0052"",""P0074"",""P0107"",""P0111"",""P0076"",""P0028"",""P0027""],""confidence"":0.56,""uncertain"":true,""top_signals"":[""institution"",""schedule"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0014,T3,P0014,1,1,1,1.0,0.99,,,False,"[""P0014"", ""P0082"", ""P0023"", ""P0056"", ""P0012"", ""P0117"", ""P0065"", ""P0041"", ""P0099"", ""P0016""]","[""role"", ""location"", ""rare_event""]","{""ranked_candidates"":[""P0014"",""P0082"",""P0023"",""P0056"",""P0012"",""P0117"",""P0065"",""P0041"",""P0099"",""P0016""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""location"",""rare_event""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0016,T2,P0072,2,0,1,0.5,0.62,,,True,"[""P0072"", ""P0016"", ""P0008"", ""P0041"", ""P0061"", ""P0014"", ""P0082"", ""P0009"", ""P0003"", ""P0095""]","[""institution"", ""legal"", ""schedule""]","{""ranked_candidates"":[""P0072"",""P0016"",""P0008"",""P0041"",""P0061"",""P0014"",""P0082"",""P0009"",""P0003"",""P0095""],""confidence"":0.62,""uncertain"":true,""top_signals"":[""institution"",""legal"",""schedule""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0017,T3,P0017,1,1,1,1.0,0.99,,,False,"[""P0017"", ""P0040"", ""P0099"", ""P0085"", ""P0022"", ""P0090"", ""P0058"", ""P0021"", ""P0073"", ""P0109""]","[""role"", ""location"", ""rare_event""]","{""ranked_candidates"":[""P0017"",""P0040"",""P0099"",""P0085"",""P0022"",""P0090"",""P0058"",""P0021"",""P0073"",""P0109""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""location"",""rare_event""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0019,T2,P0019,1,1,1,1.0,0.89,,,False,"[""P0019"", ""P0093"", ""P0043"", ""P0060"", ""P0090"", ""P0059"", ""P0099"", ""P0077"", ""P0109"", ""P0102""]","[""institution"", ""family"", ""medical""]","{""ranked_candidates"":[""P0019"",""P0093"",""P0043"",""P0060"",""P0090"",""P0059"",""P0099"",""P0077"",""P0109"",""P0102""],""confidence"":0.89,""uncertain"":false,""top_signals"":[""institution"",""family"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0020,T3,P0020,1,1,1,1.0,0.99,,,False,"[""P0020"", ""P0050"", ""P0065"", ""P0075"", ""P0053"", ""P0007"", ""P0112"", ""P0032"", ""P0116"", ""P0111""]","[""role"", ""schedule"", ""family""]","{""ranked_candidates"":[""P0020"",""P0050"",""P0065"",""P0075"",""P0053"",""P0007"",""P0112"",""P0032"",""P0116"",""P0111""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""schedule"",""family""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0022,T2,P0022,1,1,1,1.0,0.72,,,False,"[""P0022"", ""P0096"", ""P0001"", ""P0113"", ""P0010"", ""P0002"", ""P0046"", ""P0074"", ""P0062"", ""P0031""]","[""location"", ""institution"", ""financial""]","{""ranked_candidates"":[""P0022"",""P0096"",""P0001"",""P0113"",""P0010"",""P0002"",""P0046"",""P0074"",""P0062"",""P0031""],""confidence"":0.72,""uncertain"":false,""top_signals"":[""location"",""institution"",""financial""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0023,T3,P0023,1,1,1,1.0,0.99,,,False,"[""P0023"", ""P0054"", ""P0015"", ""P0014"", ""P0030"", ""P0110"", ""P0092"", ""P0114"", ""P0078"", ""P0008""]","[""role"", ""medical"", ""legal""]","{""ranked_candidates"":[""P0023"",""P0054"",""P0015"",""P0014"",""P0030"",""P0110"",""P0092"",""P0114"",""P0078"",""P0008""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""medical"",""legal""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0025,T2,P0025,1,1,1,1.0,0.86,,,False,"[""P0025"", ""P0042"", ""P0086"", ""P0044"", ""P0108"", ""P0080"", ""P0050"", ""P0106"", ""P0071"", ""P0105""]","[""institution"", ""schedule"", ""medical""]","{""ranked_candidates"":[""P0025"",""P0042"",""P0086"",""P0044"",""P0108"",""P0080"",""P0050"",""P0106"",""P0071"",""P0105""],""confidence"":0.86,""uncertain"":false,""top_signals"":[""institution"",""schedule"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0026,T3,P0026,1,1,1,1.0,0.97,,,False,"[""P0026"", ""P0064"", ""P0057"", ""P0006"", ""P0087"", ""P0067"", ""P0080"", ""P0062"", ""P0044"", ""P0086""]","[""role"", ""medical"", ""rare_event""]","{""ranked_candidates"":[""P0026"",""P0064"",""P0057"",""P0006"",""P0087"",""P0067"",""P0080"",""P0062"",""P0044"",""P0086""],""confidence"":0.97,""uncertain"":false,""top_signals"":[""role"",""medical"",""rare_event""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0028,T2,P0028,1,1,1,1.0,0.82,,,False,"[""P0028"", ""P0066"", ""P0057"", ""P0018"", ""P0064"", ""P0012"", ""P0021"", ""P0082"", ""P0013"", ""P0009""]","[""institution"", ""schedule"", ""legal""]","{""ranked_candidates"":[""P0028"",""P0066"",""P0057"",""P0018"",""P0064"",""P0012"",""P0021"",""P0082"",""P0013"",""P0009""],""confidence"":0.82,""uncertain"":false,""top_signals"":[""institution"",""schedule"",""legal""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0029,T3,P0029,1,1,1,1.0,0.99,,,False,"[""P0029"", ""P0040"", ""P0072"", ""P0069"", ""P0099"", ""P0079"", ""P0034"", ""P0091"", ""P0118"", ""P0031""]","[""role"", ""location"", ""medical""]","{""ranked_candidates"":[""P0029"",""P0040"",""P0072"",""P0069"",""P0099"",""P0079"",""P0034"",""P0091"",""P0118"",""P0031""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""location"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0031,T2,P0031,1,1,1,1.0,0.93,,,False,"[""P0031"", ""P0088"", ""P0047"", ""P0015"", ""P0099"", ""P0071"", ""P0113"", ""P0022"", ""P0054"", ""P0001""]","[""location"", ""role"", ""schedule""]","{""ranked_candidates"":[""P0031"",""P0088"",""P0047"",""P0015"",""P0099"",""P0071"",""P0113"",""P0022"",""P0054"",""P0001""],""confidence"":0.93,""uncertain"":false,""top_signals"":[""location"",""role"",""schedule""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0032,T3,P0032,1,1,1,1.0,0.99,,,False,"[""P0032"", ""P0003"", ""P0042"", ""P0111"", ""P0107"", ""P0007"", ""P0088"", ""P0104"", ""P0020"", ""P0102""]","[""role"", ""family"", ""rare_event""]","{""ranked_candidates"":[""P0032"",""P0003"",""P0042"",""P0111"",""P0107"",""P0007"",""P0088"",""P0104"",""P0020"",""P0102""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""family"",""rare_event""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0034,T2,P0034,1,1,1,1.0,0.86,,,False,"[""P0034"", ""P0101"", ""P0093"", ""P0072"", ""P0029"", ""P0058"", ""P0098"", ""P0030"", ""P0024"", ""P0103""]","[""role"", ""institution"", ""medical""]","{""ranked_candidates"":[""P0034"",""P0101"",""P0093"",""P0072"",""P0029"",""P0058"",""P0098"",""P0030"",""P0024"",""P0103""],""confidence"":0.86,""uncertain"":false,""top_signals"":[""role"",""institution"",""medical""]}"
gpt-5.5,gpt55_doclocal_24p,c1b_presidio_redaction,P0035,T3,P0035,1,1,1,1.0,0.99,,,False,"[""P0035"", ""P0072"", ""P0061"", ""P0009"", ""P0095"", ""P0037"", ""P0064"", ""P0006"", ""P0092"", ""P0036""]","[""role"", ""family"", ""legal""]","{""ranked_candidates"":[""P0035"",""P0072"",""P0061"",""P0009"",""P0095"",""P0037"",""P0064"",""P0006"",""P0092"",""P0036""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""family"",""legal""]}"
gpt-5.5,gpt55_doclocal_24p,c4_doc_local_anon,P0001,T2,P0001,1,1,1,1.0,0.69,,,True,"[""P0001"", ""P0002"", ""P0096"", ""P0046"", ""P0113"", ""P0022"", ""P0010"", ""P0047"", ""P0031"", ""P0107""]","[""role"", ""institution"", ""schedule""]","{""ranked_candidates"":[""P0001"",""P0002"",""P0096"",""P0046"",""P0113"",""P0022"",""P0010"",""P0047"",""P0031"",""P0107""],""confidence"":0.69,""uncertain"":true,""top_signals"":[""role"",""institution"",""schedule""]}"
gpt-5.5,gpt55_doclocal_24p,c4_doc_local_anon,P0002,T3,P0002,1,1,1,1.0,0.99,,,False,"[""P0002"", ""P0022"", ""P0104"", ""P0001"", ""P0113"", ""P0109"", ""P0046"", ""P0114"", ""P0072"", ""P0036""]","[""role"", ""location"", ""schedule""]","{""ranked_candidates"":[""P0002"",""P0022"",""P0104"",""P0001"",""P0113"",""P0109"",""P0046"",""P0114"",""P0072"",""P0036""],""confidence"":0.99,""uncertain"":false,""top_signals"":[""role"",""location"",""schedule""]}"
gpt-5.5,gpt55_doclocal_24p,c4_doc_local_anon,P0004,T2,P0004,1,1,1,1.0,0.89,,,False,"[""P0004"", ""P0100"", ""P0084"", ""P0033"", ""P0010"", ""P0110"", ""P0067"", ""P0044"", ""P0102"", ""P0042""]","[""role"", ""institution"", ""medical""]","{""ranked_candidates"":[""P0004"",""P0100"",""P0084"",""P0033"",""P0010"",""P0110"",""P0067"",""P0044"",""P0102"",""P0042""],""confidence"":0.89,""uncertain"":false,""top_signals"":[""role"",""institution"",""medical""]}"
