condition,attack,persona_id,risk_tier,rank,top1,top3,score_true,top_candidate
c1_direct_redaction,char_tfidf,P0089,T3,1,1,1,0.3130107820653338,P0089
c1_direct_redaction,char_tfidf,P0091,T2,2,0,1,0.1400009235908484,P0101
c1_direct_redaction,char_tfidf,P0092,T3,1,1,1,0.322062192187365,P0092
c1_direct_redaction,char_tfidf,P0093,T1,2,0,1,0.09732382801324113,P0043
c1_direct_redaction,char_tfidf,P0094,T2,2,0,1,0.1287245340026187,P0011
c1_direct_redaction,char_tfidf,P0096,T1,4,0,0,0.07793731600581824,P0046
c1_direct_redaction,char_tfidf,P0097,T2,1,1,1,0.14611215876576528,P0097
c1_direct_redaction,char_tfidf,P0098,T3,1,1,1,0.37308080029385754,P0098
c1_direct_redaction,char_tfidf,P0099,T1,6,0,0,0.06715869060487895,P0041
c1_direct_redaction,char_tfidf,P0101,T3,1,1,1,0.35801260751182545,P0101
c1_direct_redaction,char_tfidf,P0102,T1,9,0,0,0.05460450380655381,P0060
c1_direct_redaction,char_tfidf,P0103,T2,1,1,1,0.14141917441491833,P0103
c1_direct_redaction,char_tfidf,P0104,T3,1,1,1,0.3364220982563768,P0104
c1_direct_redaction,char_tfidf,P0106,T2,1,1,1,0.1515141228912655,P0106
c1_direct_redaction,char_tfidf,P0107,T3,1,1,1,0.3238390263774432,P0107
c1_direct_redaction,char_tfidf,P0108,T1,7,0,0,0.07140456234174503,P0044
c1_direct_redaction,char_tfidf,P0109,T2,1,1,1,0.12883057508877285,P0109
c1_direct_redaction,char_tfidf,P0111,T1,4,0,0,0.06336444682539542,P0013
c1_direct_redaction,char_tfidf,P0112,T2,3,0,1,0.08675349209609114,P0071
c1_direct_redaction,char_tfidf,P0113,T3,1,1,1,0.3241877793291073,P0113
c1_direct_redaction,char_tfidf,P0114,T1,6,0,0,0.05993372996684949,P0009
c1_direct_redaction,char_tfidf,P0116,T3,1,1,1,0.3297919668787024,P0116
c1_direct_redaction,char_tfidf,P0117,T1,2,0,1,0.07630032483650157,P0003
c1_direct_redaction,char_tfidf,P0118,T2,1,1,1,0.15340742320761283,P0118
c1_direct_redaction,char_tfidf,P0119,T3,1,1,1,0.342262419145974,P0119
c1b_presidio_redaction,char_tfidf,P0001,T2,6,0,0,0.06908559437303498,P0046
c1b_presidio_redaction,char_tfidf,P0002,T3,1,1,1,0.24262026893026506,P0002
c1b_presidio_redaction,char_tfidf,P0003,T1,3,0,1,0.06601303729486088,P0117
c1b_presidio_redaction,char_tfidf,P0004,T2,1,1,1,0.07981572056859118,P0004
c1b_presidio_redaction,char_tfidf,P0006,T1,6,0,0,0.06400087150427781,P0057
c1b_presidio_redaction,char_tfidf,P0007,T2,2,0,1,0.09783440103609009,P0045
c1b_presidio_redaction,char_tfidf,P0008,T3,1,1,1,0.2786026635725945,P0008
c1b_presidio_redaction,char_tfidf,P0009,T1,1,1,1,0.09844445198673152,P0009
c1b_presidio_redaction,char_tfidf,P0011,T3,1,1,1,0.34311795164217596,P0011
c1b_presidio_redaction,char_tfidf,P0012,T1,1,1,1,0.07942415527370514,P0012
c1b_presidio_redaction,char_tfidf,P0013,T2,1,1,1,0.11020600587466675,P0013
c1b_presidio_redaction,char_tfidf,P0014,T3,1,1,1,0.2560017523270737,P0014
c1b_presidio_redaction,char_tfidf,P0016,T2,5,0,0,0.08367562880046493,P0072
c1b_presidio_redaction,char_tfidf,P0017,T3,1,1,1,0.31918851116421487,P0017
c1b_presidio_redaction,char_tfidf,P0018,T1,2,0,1,0.09013007583009147,P0057
c1b_presidio_redaction,char_tfidf,P0019,T2,3,0,1,0.09829251749177459,P0043
c1b_presidio_redaction,char_tfidf,P0021,T1,8,0,0,0.055156795130474986,P0051
c1b_presidio_redaction,char_tfidf,P0022,T2,1,1,1,0.11152214507404447,P0022
c1b_presidio_redaction,char_tfidf,P0023,T3,1,1,1,0.2815283320766441,P0023
c1b_presidio_redaction,char_tfidf,P0024,T1,10,0,0,0.05654828186976306,P0011
c1b_presidio_redaction,char_tfidf,P0026,T3,1,1,1,0.26783455212036794,P0026
c1b_presidio_redaction,char_tfidf,P0027,T1,9,0,0,0.052806436415547116,P0057
c1b_presidio_redaction,char_tfidf,P0028,T2,2,0,1,0.08849152152266847,P0018
c1b_presidio_redaction,char_tfidf,P0029,T3,1,1,1,0.28581910687520373,P0029
c1b_presidio_redaction,char_tfidf,P0031,T2,3,0,1,0.08527231960835509,P0047
c1b_presidio_redaction,char_tfidf,P0032,T3,1,1,1,0.2993456594236024,P0032
c1b_presidio_redaction,char_tfidf,P0033,T1,5,0,0,0.0641870568267009,P0018
c1b_presidio_redaction,char_tfidf,P0034,T2,5,0,0,0.09203973801818517,P0029
c1b_presidio_redaction,char_tfidf,P0036,T1,6,0,0,0.05433307608779532,P0018
c1b_presidio_redaction,char_tfidf,P0037,T2,1,1,1,0.14406932775929557,P0037
c1b_presidio_redaction,char_tfidf,P0038,T3,1,1,1,0.2796692905219705,P0038
c1b_presidio_redaction,char_tfidf,P0039,T1,6,0,0,0.05863389898872369,P0057
c1b_presidio_redaction,char_tfidf,P0041,T3,1,1,1,0.26815330460989145,P0041
c1b_presidio_redaction,char_tfidf,P0042,T1,9,0,0,0.04649653398760046,P0003
c1b_presidio_redaction,char_tfidf,P0043,T2,1,1,1,0.12984569938465315,P0043
c1b_presidio_redaction,char_tfidf,P0044,T3,1,1,1,0.2912493742852426,P0044
c1b_presidio_redaction,char_tfidf,P0046,T2,2,0,1,0.1106401287043704,P0094
c1b_presidio_redaction,char_tfidf,P0047,T3,1,1,1,0.27588580010371616,P0047
c1b_presidio_redaction,char_tfidf,P0048,T1,9,0,0,0.0438280629211672,P0059
c1b_presidio_redaction,char_tfidf,P0049,T2,1,1,1,0.10483171854661837,P0049
c1b_presidio_redaction,char_tfidf,P0051,T1,4,0,0,0.06983206658732086,P0003
c1b_presidio_redaction,char_tfidf,P0052,T2,3,0,1,0.09776402188946665,P0030
c1b_presidio_redaction,char_tfidf,P0053,T3,1,1,1,0.23000609082886525,P0053
c1b_presidio_redaction,char_tfidf,P0054,T1,10,0,0,0.050394988006421455,P0030
c1b_presidio_redaction,char_tfidf,P0056,T3,1,1,1,0.30936107374482485,P0056
c1b_presidio_redaction,char_tfidf,P0057,T1,2,0,1,0.07669869721500044,P0018
c1b_presidio_redaction,char_tfidf,P0058,T2,6,0,0,0.07774510070761323,P0017
c1b_presidio_redaction,char_tfidf,P0059,T3,1,1,1,0.25577427630312866,P0059
c1b_presidio_redaction,char_tfidf,P0061,T2,1,1,1,0.1222562330041505,P0061
c1b_presidio_redaction,char_tfidf,P0062,T3,1,1,1,0.2544054440076072,P0062
c1b_presidio_redaction,char_tfidf,P0063,T1,5,0,0,0.06302867998104501,P0011
c1b_presidio_redaction,char_tfidf,P0064,T2,3,0,1,0.09397149585386079,P0061
c1b_presidio_redaction,char_tfidf,P0066,T1,7,0,0,0.05575182639359546,P0028
c1b_presidio_redaction,char_tfidf,P0067,T2,4,0,0,0.08012511144603093,P0000
c1b_presidio_redaction,char_tfidf,P0068,T3,1,1,1,0.2744870823025587,P0068
c1b_presidio_redaction,char_tfidf,P0069,T1,10,0,0,0.04288908824910313,P0052
c1b_presidio_redaction,char_tfidf,P0071,T3,1,1,1,0.25804239781330923,P0071
c1b_presidio_redaction,char_tfidf,P0072,T1,7,0,0,0.05801190047954584,P0040
c1b_presidio_redaction,char_tfidf,P0073,T2,2,0,1,0.09918273540613587,P0061
c1b_presidio_redaction,char_tfidf,P0074,T3,1,1,1,0.3383336737815356,P0074
c1b_presidio_redaction,char_tfidf,P0076,T2,5,0,0,0.08233727930072002,P0045
c1b_presidio_redaction,char_tfidf,P0077,T3,1,1,1,0.24941677934035594,P0077
c1b_presidio_redaction,char_tfidf,P0078,T1,10,0,0,0.03932712440212963,P0008
c1b_presidio_redaction,char_tfidf,P0079,T2,9,0,0,0.064515383072784,P0050
c1b_presidio_redaction,char_tfidf,P0081,T1,4,0,0,0.07014384745198862,P0011
c1b_presidio_redaction,char_tfidf,P0082,T2,2,0,1,0.09526974403896911,P0045
c1b_presidio_redaction,char_tfidf,P0083,T3,1,1,1,0.3188877755380531,P0083
c1b_presidio_redaction,char_tfidf,P0084,T1,4,0,0,0.06950295101473848,P0057
c1b_presidio_redaction,char_tfidf,P0086,T3,1,1,1,0.3173736984904233,P0086
c1b_presidio_redaction,char_tfidf,P0087,T1,4,0,0,0.06834696587142591,P0106
c1b_presidio_redaction,char_tfidf,P0088,T2,2,0,1,0.09621585131134681,P0030
c1b_presidio_redaction,char_tfidf,P0089,T3,1,1,1,0.26500337808345814,P0089
c1b_presidio_redaction,char_tfidf,P0091,T2,2,0,1,0.1133306974093479,P0101
c1b_presidio_redaction,char_tfidf,P0092,T3,1,1,1,0.26759901203891767,P0092
c1b_presidio_redaction,char_tfidf,P0093,T1,6,0,0,0.07297966414999403,P0043
c1b_presidio_redaction,char_tfidf,P0094,T2,2,0,1,0.09561195930300542,P0011
c1b_presidio_redaction,char_tfidf,P0096,T1,4,0,0,0.06538019133965164,P0046
c1b_presidio_redaction,char_tfidf,P0097,T2,1,1,1,0.10380405810986956,P0097
c1b_presidio_redaction,char_tfidf,P0098,T3,1,1,1,0.3332529964938465,P0098
c1b_presidio_redaction,char_tfidf,P0099,T1,6,0,0,0.06301690894955893,P0041
c1b_presidio_redaction,char_tfidf,P0101,T3,1,1,1,0.2985761533836052,P0101
c1b_presidio_redaction,char_tfidf,P0102,T1,8,0,0,0.04662273876083044,P0060
c1b_presidio_redaction,char_tfidf,P0103,T2,1,1,1,0.10189453210626023,P0103
c1b_presidio_redaction,char_tfidf,P0104,T3,1,1,1,0.30284173341198123,P0104
c1b_presidio_redaction,char_tfidf,P0106,T2,1,1,1,0.11687959190417117,P0106
c1b_presidio_redaction,char_tfidf,P0107,T3,1,1,1,0.26330993759105864,P0107
c1b_presidio_redaction,char_tfidf,P0108,T1,7,0,0,0.06008849206201611,P0044
c1b_presidio_redaction,char_tfidf,P0109,T2,1,1,1,0.08229955851211287,P0109
c1b_presidio_redaction,char_tfidf,P0111,T1,6,0,0,0.050927474264859135,P0013
c1b_presidio_redaction,char_tfidf,P0112,T2,6,0,0,0.0704800542251568,P0071
c1b_presidio_redaction,char_tfidf,P0113,T3,1,1,1,0.2724909680888077,P0113
c1b_presidio_redaction,char_tfidf,P0114,T1,6,0,0,0.05486101195909949,P0009
c1b_presidio_redaction,char_tfidf,P0116,T3,1,1,1,0.29369327995637895,P0116
c1b_presidio_redaction,char_tfidf,P0117,T1,3,0,1,0.06903871553597786,P0003
c1b_presidio_redaction,char_tfidf,P0118,T2,1,1,1,0.10928542780104945,P0118
c1b_presidio_redaction,char_tfidf,P0119,T3,1,1,1,0.2657425451708279,P0119
c2_consistent_pseudonym,char_tfidf,P0001,T2,9,0,0,0.05746250487021558,P0046
c2_consistent_pseudonym,char_tfidf,P0002,T3,1,1,1,0.2933406970633332,P0002
c2_consistent_pseudonym,char_tfidf,P0003,T1,2,0,1,0.08009610771177754,P0117
c2_consistent_pseudonym,char_tfidf,P0004,T2,2,0,1,0.07872472034711998,P0033
c2_consistent_pseudonym,char_tfidf,P0006,T1,4,0,0,0.08369996459228933,P0057
c2_consistent_pseudonym,char_tfidf,P0007,T2,3,0,1,0.090876252425435,P0045
c2_consistent_pseudonym,char_tfidf,P0008,T3,1,1,1,0.3037117678838457,P0008
c2_consistent_pseudonym,char_tfidf,P0009,T1,1,1,1,0.11497368557704904,P0009
c2_consistent_pseudonym,char_tfidf,P0011,T3,1,1,1,0.3576004202357477,P0011
c2_consistent_pseudonym,char_tfidf,P0012,T1,1,1,1,0.09501828783499258,P0012
c2_consistent_pseudonym,char_tfidf,P0013,T2,1,1,1,0.11423285060990192,P0013
c2_consistent_pseudonym,char_tfidf,P0014,T3,1,1,1,0.28530656952967365,P0014
c2_consistent_pseudonym,char_tfidf,P0016,T2,6,0,0,0.08801589672811135,P0061
c2_consistent_pseudonym,char_tfidf,P0017,T3,1,1,1,0.3239934091909852,P0017
c2_consistent_pseudonym,char_tfidf,P0018,T1,2,0,1,0.11643251072832381,P0057
c2_consistent_pseudonym,char_tfidf,P0019,T2,5,0,0,0.09321161820988492,P0043
c2_consistent_pseudonym,char_tfidf,P0021,T1,5,0,0,0.06921763022435246,P0051
c2_consistent_pseudonym,char_tfidf,P0022,T2,2,0,1,0.10338031386370734,P0046
c2_consistent_pseudonym,char_tfidf,P0023,T3,1,1,1,0.30677159989189123,P0023
c2_consistent_pseudonym,char_tfidf,P0024,T1,4,0,0,0.07882609095648399,P0011
c2_consistent_pseudonym,char_tfidf,P0026,T3,1,1,1,0.27197101260194656,P0026
c2_consistent_pseudonym,char_tfidf,P0027,T1,6,0,0,0.06930525322828358,P0057
c2_consistent_pseudonym,char_tfidf,P0028,T2,1,1,1,0.09931999027127139,P0028
c2_consistent_pseudonym,char_tfidf,P0029,T3,1,1,1,0.31617676473794826,P0029
c2_consistent_pseudonym,char_tfidf,P0031,T2,9,0,0,0.0519951684594321,P0047
c2_consistent_pseudonym,char_tfidf,P0032,T3,1,1,1,0.30710505849235553,P0032
c2_consistent_pseudonym,char_tfidf,P0033,T1,3,0,1,0.08443942967877387,P0018
c2_consistent_pseudonym,char_tfidf,P0034,T2,5,0,0,0.09169690949402229,P0029
c2_consistent_pseudonym,char_tfidf,P0036,T1,2,0,1,0.08210318710575296,P0018
c2_consistent_pseudonym,char_tfidf,P0037,T2,1,1,1,0.1306281988011305,P0037
c2_consistent_pseudonym,char_tfidf,P0038,T3,1,1,1,0.2994345191328921,P0038
c2_consistent_pseudonym,char_tfidf,P0039,T1,3,0,1,0.08369579079598882,P0057
c2_consistent_pseudonym,char_tfidf,P0041,T3,1,1,1,0.2817129130260719,P0041
c2_consistent_pseudonym,char_tfidf,P0042,T1,4,0,0,0.06596552715647534,P0040
c2_consistent_pseudonym,char_tfidf,P0043,T2,2,0,1,0.12862379554182615,P0050
c2_consistent_pseudonym,char_tfidf,P0044,T3,1,1,1,0.2950706675683402,P0044
c2_consistent_pseudonym,char_tfidf,P0046,T2,4,0,0,0.10812565289772773,P0094
c2_consistent_pseudonym,char_tfidf,P0047,T3,1,1,1,0.2871491998213485,P0047
c2_consistent_pseudonym,char_tfidf,P0048,T1,7,0,0,0.06345232826817032,P0059
c2_consistent_pseudonym,char_tfidf,P0049,T2,2,0,1,0.09302006621073625,P0046
c2_consistent_pseudonym,char_tfidf,P0051,T1,1,1,1,0.08143356213118857,P0051
c2_consistent_pseudonym,char_tfidf,P0052,T2,2,0,1,0.1165191916601892,P0030
c2_consistent_pseudonym,char_tfidf,P0053,T3,1,1,1,0.23272797218616464,P0053
c2_consistent_pseudonym,char_tfidf,P0054,T1,9,0,0,0.06884805534987899,P0030
c2_consistent_pseudonym,char_tfidf,P0056,T3,1,1,1,0.3216922044830396,P0056
c2_consistent_pseudonym,char_tfidf,P0057,T1,2,0,1,0.09940394620377252,P0018
c2_consistent_pseudonym,char_tfidf,P0058,T2,6,0,0,0.08042410675762268,P0073
c2_consistent_pseudonym,char_tfidf,P0059,T3,1,1,1,0.3074154645162064,P0059
c2_consistent_pseudonym,char_tfidf,P0061,T2,1,1,1,0.12399967428800932,P0061
c2_consistent_pseudonym,char_tfidf,P0062,T3,1,1,1,0.30153016920005143,P0062
c2_consistent_pseudonym,char_tfidf,P0063,T1,4,0,0,0.08092979918239993,P0011
c2_consistent_pseudonym,char_tfidf,P0064,T2,3,0,1,0.10907519616654245,P0035
c2_consistent_pseudonym,char_tfidf,P0066,T1,3,0,1,0.079865748950398,P0028
c2_consistent_pseudonym,char_tfidf,P0067,T2,4,0,0,0.0861950691829491,P0000
c2_consistent_pseudonym,char_tfidf,P0068,T3,1,1,1,0.3251424854473981,P0068
c2_consistent_pseudonym,char_tfidf,P0069,T1,7,0,0,0.06657051971521165,P0052
c2_consistent_pseudonym,char_tfidf,P0071,T3,1,1,1,0.2537081624323955,P0071
c2_consistent_pseudonym,char_tfidf,P0072,T1,4,0,0,0.0877824775976975,P0040
c2_consistent_pseudonym,char_tfidf,P0073,T2,1,1,1,0.10435116032934517,P0073
c2_consistent_pseudonym,char_tfidf,P0074,T3,1,1,1,0.3329385716380378,P0074
c2_consistent_pseudonym,char_tfidf,P0076,T2,5,0,0,0.08685468433935754,P0045
c2_consistent_pseudonym,char_tfidf,P0077,T3,1,1,1,0.2712979034150542,P0077
c2_consistent_pseudonym,char_tfidf,P0078,T1,8,0,0,0.05242808873408701,P0008
c2_consistent_pseudonym,char_tfidf,P0079,T2,7,0,0,0.07973454143942363,P0050
c2_consistent_pseudonym,char_tfidf,P0081,T1,2,0,1,0.09197369939820552,P0011
c2_consistent_pseudonym,char_tfidf,P0082,T2,2,0,1,0.0893502521927633,P0045
c2_consistent_pseudonym,char_tfidf,P0083,T3,1,1,1,0.2964421166966984,P0083
c2_consistent_pseudonym,char_tfidf,P0084,T1,3,0,1,0.08697975279785972,P0057
c2_consistent_pseudonym,char_tfidf,P0086,T3,1,1,1,0.32978067684930135,P0086
c2_consistent_pseudonym,char_tfidf,P0087,T1,2,0,1,0.09447035716582128,P0106
c2_consistent_pseudonym,char_tfidf,P0088,T2,4,0,0,0.07770065166019773,P0030
c2_consistent_pseudonym,char_tfidf,P0089,T3,1,1,1,0.23893301185636798,P0089
c2_consistent_pseudonym,char_tfidf,P0091,T2,3,0,1,0.11737514584747881,P0101
c2_consistent_pseudonym,char_tfidf,P0092,T3,1,1,1,0.2617675921997989,P0092
c2_consistent_pseudonym,char_tfidf,P0093,T1,2,0,1,0.10640608687439053,P0043
c2_consistent_pseudonym,char_tfidf,P0094,T2,2,0,1,0.10651163349996919,P0011
c2_consistent_pseudonym,char_tfidf,P0096,T1,3,0,1,0.08593433395171747,P0046
c2_consistent_pseudonym,char_tfidf,P0097,T2,3,0,1,0.10343764548397053,P0009
c2_consistent_pseudonym,char_tfidf,P0098,T3,1,1,1,0.3285738950772775,P0098
c2_consistent_pseudonym,char_tfidf,P0099,T1,5,0,0,0.07598710418168006,P0041
c2_consistent_pseudonym,char_tfidf,P0101,T3,1,1,1,0.32114179634997553,P0101
c2_consistent_pseudonym,char_tfidf,P0102,T1,5,0,0,0.06250485091196312,P0060
c2_consistent_pseudonym,char_tfidf,P0103,T2,2,0,1,0.09835855267824312,P0009
c2_consistent_pseudonym,char_tfidf,P0104,T3,1,1,1,0.28708365412761794,P0104
c2_consistent_pseudonym,char_tfidf,P0106,T2,1,1,1,0.11911339232961357,P0106
c2_consistent_pseudonym,char_tfidf,P0107,T3,1,1,1,0.2800488589805769,P0107
c2_consistent_pseudonym,char_tfidf,P0108,T1,5,0,0,0.07946886028375685,P0044
c2_consistent_pseudonym,char_tfidf,P0109,T2,2,0,1,0.09541206747924473,P0118
c2_consistent_pseudonym,char_tfidf,P0111,T1,4,0,0,0.07108877904584332,P0013
c2_consistent_pseudonym,char_tfidf,P0112,T2,8,0,0,0.06339885552935005,P0037
c2_consistent_pseudonym,char_tfidf,P0113,T3,1,1,1,0.28632221566139593,P0113
c2_consistent_pseudonym,char_tfidf,P0114,T1,6,0,0,0.06864532339285445,P0009
c2_consistent_pseudonym,char_tfidf,P0116,T3,1,1,1,0.30196650014569315,P0116
c2_consistent_pseudonym,char_tfidf,P0117,T1,4,0,0,0.07020784670182223,P0005
c2_consistent_pseudonym,char_tfidf,P0118,T2,1,1,1,0.11635364614635656,P0118
c2_consistent_pseudonym,char_tfidf,P0119,T3,1,1,1,0.3217682485348115,P0119
c3_per_doc_pseudonym,char_tfidf,P0001,T2,9,0,0,0.04817019157713067,P0046
c3_per_doc_pseudonym,char_tfidf,P0002,T3,1,1,1,0.27118923205566514,P0002
c3_per_doc_pseudonym,char_tfidf,P0003,T1,3,0,1,0.06886434614086814,P0117
c3_per_doc_pseudonym,char_tfidf,P0004,T2,3,0,1,0.06877479621819887,P0033
c3_per_doc_pseudonym,char_tfidf,P0006,T1,5,0,0,0.07231285507266653,P0057
c3_per_doc_pseudonym,char_tfidf,P0007,T2,5,0,0,0.07965947160163782,P0045
c3_per_doc_pseudonym,char_tfidf,P0008,T3,1,1,1,0.2829256319939891,P0008
c3_per_doc_pseudonym,char_tfidf,P0009,T1,1,1,1,0.10389253465291172,P0009
c3_per_doc_pseudonym,char_tfidf,P0011,T3,1,1,1,0.3325309568163223,P0011
c3_per_doc_pseudonym,char_tfidf,P0012,T1,1,1,1,0.08375484132533746,P0012
c3_per_doc_pseudonym,char_tfidf,P0013,T2,2,0,1,0.10136055842102691,P0028
c3_per_doc_pseudonym,char_tfidf,P0014,T3,1,1,1,0.26409790873431077,P0014
c3_per_doc_pseudonym,char_tfidf,P0016,T2,7,0,0,0.07764653375740341,P0061
c3_per_doc_pseudonym,char_tfidf,P0017,T3,1,1,1,0.3022495004354952,P0017
c3_per_doc_pseudonym,char_tfidf,P0018,T1,2,0,1,0.1040681150163985,P0057
c3_per_doc_pseudonym,char_tfidf,P0019,T2,5,0,0,0.08079023291160198,P0043
c3_per_doc_pseudonym,char_tfidf,P0021,T1,7,0,0,0.05894645294459427,P0051
c3_per_doc_pseudonym,char_tfidf,P0022,T2,2,0,1,0.09148870459009115,P0046
c3_per_doc_pseudonym,char_tfidf,P0023,T3,1,1,1,0.28297034510394964,P0023
c3_per_doc_pseudonym,char_tfidf,P0024,T1,8,0,0,0.06662963692459566,P0011
c3_per_doc_pseudonym,char_tfidf,P0026,T3,1,1,1,0.24980752062914055,P0026
c3_per_doc_pseudonym,char_tfidf,P0027,T1,7,0,0,0.0582846415697681,P0057
